en,fr
hello,bonjour
hi,salut
hey,hé
goodbye,au revoir
bye,salut
yes,oui
no,non
maybe,peut-être
please,s'il vous plaît
thanks,merci
sorry,pardon
okay,d'accord
sure,bien sûr
never,jamais
always,toujours
sometimes,parfois
often,souvent
rarely,rarement
good,bon
bad,mauvais
great,génial
terrible,terrible
wonderful,merveilleux
awful,affreux
perfect,parfait
excellent,excellent
nice,sympa
big,grand
small,petit
large,grand
tiny,minuscule
huge,énorme
tall,grand
short,court
long,long
wide,large
narrow,étroit
thick,épais
thin,mince
hot,chaud
cold,froid
warm,tiède
cool,frais
wet,mouillé
dry,sec
new,nouveau
old,vieux
young,jeune
ancient,ancien
modern,moderne
fresh,frais
stale,rassis
fast,rapide
slow,lent
quick,rapide
easy,facile
hard,difficile
simple,simple
complex,complexe
beautiful,beau
ugly,laid
pretty,joli
handsome,beau
cute,mignon
gorgeous,magnifique
clean,propre
dirty,sale
neat,soigné
messy,désordonné
bright,brillant
dark,sombre
light,léger
heavy,lourd
soft,doux
hard,dur
smooth,lisse
rough,rugueux
sharp,tranchant
dull,terne
open,ouvert
closed,fermé
full,plein
empty,vide
rich,riche
poor,pauvre
cheap,bon marché
expensive,cher
free,gratuit
busy,occupé
quiet,calme
loud,bruyant
silent,silencieux
noisy,bruyant
happy,heureux
sad,triste
angry,en colère
scared,effrayé
tired,fatigué
hungry,affamé
thirsty,assoif
sick,malade
healthy,en bonne santé
strong,fort
weak,faible
brave,courageux
scared,effrayé
proud,fier
ashamed,honteux
nervous,nerveux
calm,calme
excited,excité
bored,ennuyé
surprised,surpris
confused,confus
left,gauche
right,droite
up,en haut
down,en bas
front,devant
back,derrière
inside,dedans
outside,dehors
near,près
far,loin
here,ici
there,là
everywhere,partout
nowhere,nulle part
somewhere,quelque part
now,maintenant
later,plus tard
soon,bientôt
early,tôt
late,tard
today,aujourd'hui
tomorrow,demain
yesterday,hier
morning,matin
afternoon,après-midi
evening,soir
night,nuit
midnight,minuit
noon,midi
day,jour
week,semaine
month,mois
year,année
century,siècle
spring,printemps
summer,été
autumn,automne
winter,hiver
water,eau
fire,feu
earth,terre
air,air
food,nourriture
drink,boisson
bread,pain
butter,beurre
cheese,fromage
milk,lait
coffee,café
tea,thé
juice,jus
wine,vin
beer,bière
meat,viande
fish,poisson
chicken,poulet
beef,boeuf
pork,porc
lamb,agneau
rice,riz
pasta,pâtes
soup,soupe
salad,salade
vegetables,légumes
fruit,fruit
apple,pomme
orange,orange
banana,banane
grape,raisin
lemon,citron
strawberry,fraise
cherry,cerise
peach,pêche
pear,poire
melon,melon
carrot,carotte
potato,pomme de terre
tomato,tomate
onion,oignon
garlic,ail
pepper,poivre
salt,sel
sugar,sucre
oil,huile
egg,oeuf
flour,farine
house,maison
home,maison
apartment,appartement
room,chambre
bedroom,chambre
bathroom,salle de bain
kitchen,cuisine
living room,salon
dining room,salle à manger
garden,jardin
garage,garage
roof,toit
floor,sol
wall,mur
ceiling,plafond
door,porte
window,fenêtre
stairs,escalier
table,table
chair,chaise
bed,lit
sofa,canapé
desk,bureau
lamp,lampe
mirror,miroir
clock,horloge
television,télévision
computer,ordinateur
phone,téléphone
radio,radio
camera,appareil photo
car,voiture
bus,bus
train,train
plane,avion
boat,bateau
ship,navire
bicycle,vélo
motorcycle,moto
taxi,taxi
truck,camion
street,rue
road,route
highway,autoroute
bridge,pont
tunnel,tunnel
city,ville
town,ville
village,village
country,pays
nation,nation
capital,capitale
beach,plage
mountain,montagne
river,rivière
lake,lac
sea,mer
ocean,océan
forest,forêt
desert,désert
island,île
valley,vallée
money,argent
cash,espèces
coin,pièce
bill,billet
price,prix
cost,coût
tax,taxe
bank,banque
shop,magasin
store,magasin
market,marché
restaurant,restaurant
hotel,hôtel
hospital,hôpital
school,école
university,université
library,bibliothèque
museum,musée
church,église
office,bureau
factory,usine
airport,aéroport
station,gare
work,travail
job,emploi
career,carrière
boss,patron
employee,employé
colleague,collègue
meeting,réunion
project,projet
deadline,délai
salary,salaire
vacation,vacances
book,livre
pen,stylo
pencil,crayon
paper,papier
notebook,cahier
letter,lettre
newspaper,journal
magazine,magazine
page,page
chapter,chapitre
story,histoire
poem,poème
song,chanson
music,musique
dance,danse
art,art
painting,peinture
sculpture,sculpture
photo,photo
movie,film
theater,théâtre
concert,concert
game,jeu
sport,sport
football,football
soccer,football
basketball,basketball
tennis,tennis
swimming,natation
running,course
walking,marche
team,équipe
player,joueur
winner,gagnant
loser,perdant
man,homme
woman,femme
child,enfant
baby,bébé
boy,garçon
girl,fille
teenager,adolescent
adult,adulte
person,personne
people,gens
friend,ami
enemy,ennemi
neighbor,voisin
stranger,étranger
family,famille
mother,mère
father,père
parent,parent
son,fils
daughter,fille
brother,frère
sister,soeur
uncle,oncle
aunt,tante
cousin,cousin
grandmother,grand-mère
grandfather,grand-père
husband,mari
wife,femme
king,roi
queen,reine
prince,prince
princess,princesse
doctor,médecin
nurse,infirmière
teacher,professeur
student,étudiant
lawyer,avocat
engineer,ingénieur
artist,artiste
writer,écrivain
actor,acteur
singer,chanteur
chef,chef
waiter,serveur
driver,chauffeur
pilot,pilote
soldier,soldat
police,police
dog,chien
cat,chat
bird,oiseau
fish,poisson
horse,cheval
cow,vache
pig,cochon
sheep,mouton
chicken,poulet
duck,canard
rabbit,lapin
